"construction_info","description","start_dt","end_dt","longitude","latitude","point"
"10 Avenue and 5 Street SW","Expect delays in the area","2023-01-02T06:00:00.000","2023-12-31T23:59:00.000","-114.07401190080031","51.04363075650485","POINT (-114.07401190080031 51.04363075650485)"
"8 Avenue and 8 Street SW"," SB 8 St RLC @ 8 Ave","2023-08-21T09:38:50.000","2023-12-08T15:00:00.000","-114.08123855993364","51.04606028715875","POINT (-114.08123855993364 51.04606028715875)"
"Macleod Trail at Spiller Road SE","The right lane is closed northbound (daily). ","2023-09-30T07:00:00.000","2023-11-25T15:00:00.000","-114.05930752704339","51.02328760414118","POINT (-114.05930752704339 51.02328760414118)"
"9 Street and 4 Avenue SW","SB  9 Street SW 2 Right Lane Closure WB 4 Avenue SW 1 Left Lane Closure on ","2023-11-19T07:00:00.000","2023-11-19T12:00:00.000","-114.08347289021128","51.04989867598871","POINT (-114.08347289021128 51.04989867598871)"
"Sarcee Trail between 16 Avenue NW and Bow Trail SW","NB and SB single left lane closures. Daily 6pm ¿ 6am daily. ","2023-11-05T18:00:00.000","2023-11-14T06:00:00.000","-114.16428888637687","51.05251308756985","POINT (-114.16428888637687 51.05251308756985)"
"Saddletowne Circle and Saddleridge Drive NE","westbound right lanes closure on Saddletowne Circle","2023-11-15T09:00:00.000","2023-11-17T15:00:00.000","-113.94927215803447","51.12623542984168","POINT (-113.94927215803447 51.12623542984168)"
"Ogden Road at 42 Avenue SE","CLOSE LEFT NORTHBOUND + ACROSS BRIDGE DECK","2023-11-10T09:00:00.000","2023-11-15T15:00:00.000","-114.01554926910394","51.015489147456776","POINT (-114.01554926910394 51.015489147456776)"
"Saddletowne Circle and 60 St NE","Multiple lane closures at this area","2023-11-18T05:00:00.000","2023-11-18T17:00:00.000","-113.94767909047472","51.12654846530404","POINT (-113.94767909047472 51.12654846530404)"
"12 Avenue between 3 Street and 4 Street SE","There is two-way traffic on the north side.","2023-11-18T23:00:00.000","2023-11-27T21:00:00.000","-114.05349246410753","51.04114726178727","POINT (-114.05349246410753 51.04114726178727)"
"Charleswood Drive at Chicoutimi Drive NW","Left lane closed eastbound and westbound.","2023-11-14T09:00:00.000","2023-11-14T15:00:00.000","-114.1209945269038","51.08629913815697","POINT (-114.1209945269038 51.08629913815697)"
"4 Street between 8 Avenue and 9 Avenue SW","Northbound right lane closure","2023-11-18T07:00:00.000","2023-11-18T19:00:00.000","-114.07151570853222","51.045251811287585","POINT (-114.07151570853222 51.045251811287585)"
"14 Street between Anderson Road and Canyon Meadows Drive SW","The road is closed on 14 Street between Anderson Road and Canyon Meadows Drive.","2023-10-30T10:00:00.000","2023-12-10T18:00:00.000","-114.09462830089656","50.95040828055823","POINT (-114.09462830089656 50.95040828055823)"
"64 Avenue west of 44 Street SE","Road closed - Local traffic only","2023-11-13T12:00:00.000","2023-11-16T19:00:00.000","-113.97082801625254","50.99660815488322","POINT (-113.97082801625254 50.99660815488322)"
"18 Street between Kensington Road and 1 Avenue NW","The road is closed.","2023-11-15T07:00:00.000","2023-11-15T18:00:00.000","-114.1026856839619","51.05289570370821","POINT (-114.1026856839619 51.05289570370821)"
"3 Street at 12 Avenue SE","There is two-way traffic on the southside","2023-11-18T20:30:00.000","2023-11-18T23:00:00.000","-114.0559517726484","51.04121642986304","POINT (-114.0559517726484 51.04121642986304)"
"Stampede Trail between 14 Avenue and Agriculture Trail SE","The road is closed northbound and southbound.","2023-04-24T00:00:00.000","2023-11-30T00:00:00.000","-114.0536085545049","51.03929940242775","POINT (-114.0536085545049 51.03929940242775)"
"6 Avenue at 1 Street SW","Two right lanes closed on Westbound 6 Avenue between Centre Street and 1 Street SW. Northbound 1 Street SW closed at 6 Avenue SW, two-way traffic on Southbound.","2023-08-14T07:00:00.000","2023-12-30T15:00:00.000","-114.06534898434857","51.047530363369425","POINT (-114.06534898434857 51.047530363369425)"
"44 Street and 64 Avenue SE","Road closure on 44 Street S.E. No through traffic. Local traffic only","2023-11-13T12:00:00.000","2023-11-16T19:00:00.000","-113.97013055036389","50.99658945965305","POINT (-113.97013055036389 50.99658945965305)"
"4 Street at 19 Avenue SW","SINGLE RIGHT LANE CLOSURES.","2023-11-01T08:00:00.000","2023-11-15T16:00:00.000","-114.07150965680815","51.03604101644265","POINT (-114.07150965680815 51.03604101644265)"
"Ogden Road at 42 Avenue SE","CLOSE LEFT SOUTHBOUND + ACROSS BRIDGE DECK","2023-11-10T09:00:00.000","2023-11-15T15:00:00.000","-114.01554926910394","51.015489147456776","POINT (-114.01554926910394 51.015489147456776)"
"Charleswood Drive at Chicoutimi Drive NW","Various closures","2023-11-15T09:00:00.000","2023-11-16T15:00:00.000","-114.12099452681","51.08629910219836","POINT (-114.12099452681 51.08629910219836)"
"50 Avenue at 52 Street SE","There are various road closures.","2023-07-19T09:00:00.000","2023-11-30T17:00:00.000","-113.95905530160948","51.00882580393181","POINT (-113.95905530160948 51.00882580393181)"
"69 Street between 14 Avenue and Christie Estate Boulevard SW","The southbound lanes are closed. Two-way traffic setup in the northbound lanes","2023-11-08T19:00:00.000","2023-11-22T19:00:00.000","-114.18757690729547","51.0452184631668","POINT (-114.18757690729547 51.0452184631668)"
"12 Avenue between 3 Street and 4 Street SE","There is two-way traffic on the north side","2023-11-16T23:00:00.000","2023-11-18T20:30:00.000","-114.05349246410753","51.04114726178727","POINT (-114.05349246410753 51.04114726178727)"
"17 Avenue at 14 Street SW","Various lane closures. Expect delays in the area.","2023-11-15T09:00:00.000","2023-11-15T15:00:00.000","-114.09470999821238","51.03782417576717","POINT (-114.09470999821238 51.03782417576717)"
"Edgemont Drive at Edgemont Boulevard NW","Expect delays in the area.","2023-11-13T09:00:00.000","2023-11-15T19:00:00.000","-114.15002040625667","51.116932999985174","POINT (-114.15002040625667 51.116932999985174)"
"10 Street at 12 Avenue SW","Road closure on 10 Street between 12 and 13 Avenue SW","2023-07-07T14:00:00.000","2024-06-02T15:00:00.000","-114.08644204257392","51.042077701862375","POINT (-114.08644204257392 51.042077701862375)"
"Canyon Meadows Drive at 6 Street SW","SINGLE RIGHT LANE CLOSURES.","2023-12-05T09:00:00.000","2023-12-06T15:00:00.000","-114.07640025121161","50.933721640689946","POINT (-114.07640025121161 50.933721640689946)"
"85 Street at Val Garden Boulevard SW","Full closure of 85 St at Val Gardena Bv SW. Please follow detour provided.","2023-11-09T07:00:00.000","2023-11-23T19:00:00.000","-114.21146017237976","51.033377472172035","POINT (-114.21146017237976 51.033377472172035)"
